# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 15 Mar 2026 03:00:31 +0100
#
# IP	number of (black)lists
#
14.103.118.186	5
14.103.118.194	5
14.103.118.197	5
14.103.118.198	5
14.103.118.208	5
14.103.118.212	5
14.103.118.213	5
14.103.118.226	5
14.103.120.75	5
14.103.120.124	5
14.103.120.129	5
14.103.120.130	5
14.103.120.147	5
14.103.120.152	5
14.103.120.242	5
14.103.122.90	5
14.103.122.187	5
14.103.122.215	5
14.103.123.16	5
14.103.123.19	5
14.103.123.50	5
14.103.123.75	5
14.103.127.3	5
14.103.127.7	5
14.103.127.66	5
14.103.127.75	5
14.103.127.80	5
14.103.127.83	5
14.103.127.198	5
14.103.127.199	5
14.103.127.232	5
14.103.129.174	5
14.103.139.5	5
14.103.140.39	5
14.103.142.184	5
14.103.142.227	5
14.103.145.231	5
14.103.149.158	5
14.103.151.86	5
14.103.153.174	5
14.103.159.224	5
14.103.173.166	5
14.103.174.120	5
14.103.178.182	5
14.103.179.212	5
14.103.184.19	5
14.103.191.198	5
14.103.192.217	5
14.103.198.81	5
14.103.200.237	5
14.103.201.200	5
14.103.203.191	5
14.103.206.145	5
14.103.228.201	5
14.103.228.234	5
14.103.233.27	5
14.103.235.143	5
14.103.235.147	5
14.103.236.241	5
14.103.243.51	5
14.103.247.214	5
14.103.249.172	5
14.116.184.171	5
14.116.189.74	5
14.116.207.22	5
14.116.208.35	5
14.177.234.24	5
14.195.83.210	5
14.225.2.105	5
14.225.3.79	5
14.225.205.58	5
14.225.217.138	5
18.212.83.63	5
20.14.73.1	5
20.14.89.71	5
20.14.93.239	5
20.40.216.95	5
20.42.92.153	5
20.46.231.161	5
20.46.245.69	5
20.49.0.100	5
20.55.4.75	5
20.55.35.128	5
20.64.104.9	5
20.64.104.78	5
20.64.104.184	5
20.64.105.54	5
20.64.105.121	5
20.64.105.126	5
20.64.105.243	5
20.64.106.75	5
20.65.136.10	5
20.65.145.247	5
20.65.154.146	5
20.65.169.214	5
20.65.193.82	5
20.65.193.152	5
20.65.193.254	5
20.65.194.104	5
20.65.194.111	5
20.65.194.132	5
20.65.194.142	5
20.65.195.58	5
20.65.195.126	5
20.65.219.131	5
20.83.2.253	5
20.83.27.168	5
20.83.49.78	5
20.83.173.252	5
20.84.145.58	5
20.84.152.142	5
20.84.153.206	5
20.102.40.205	5
20.105.65.67	5
20.118.32.171	5
20.118.217.73	5
20.127.195.188	5
20.150.192.39	5
20.150.193.141	5
20.163.2.35	5
20.163.3.234	5
20.163.5.58	5
20.163.14.22	5
20.163.15.93	5
20.163.15.96	5
20.163.15.130	5
20.163.16.165	5
20.163.38.129	5
20.163.61.13	5
20.163.76.6	5
20.168.14.25	5
20.168.113.228	5
20.169.53.154	5
20.169.83.214	5
20.169.105.13	5
20.172.70.65	5
20.173.116.24	5
20.187.146.251	5
20.199.24.157	5
20.205.19.121	5
20.215.208.157	5
20.216.146.160	5
20.220.232.240	5
20.235.165.102	5
20.244.18.126	5
23.91.96.70	5
23.129.64.207	5
23.227.147.163	5
23.227.173.100	5
23.249.28.115	5
24.144.124.91	5
24.199.125.179	5
27.50.25.190	5
27.72.31.207	5
27.79.44.104	5
27.112.78.44	5
27.112.78.95	5
27.112.78.223	5
27.119.7.6	5
27.128.160.208	5
27.128.170.160	5
27.128.171.39	5
27.128.175.119	5
27.128.240.75	5
27.155.92.28	5
31.14.32.6	5
31.56.197.248	5
31.57.63.12	5
31.133.205.10	5
31.173.247.254	5
34.0.13.61	5
34.22.88.230	5
34.58.124.191	5
34.69.0.72	5
34.78.29.97	5
34.81.72.185	5
34.91.0.68	5
34.95.197.36	5
34.147.1.100	5
34.239.122.61	5
35.200.237.19	5
35.203.210.10	5
35.203.210.16	5
35.203.210.30	5
35.203.210.34	5
35.203.210.38	5
35.203.210.75	5
35.203.210.83	5
35.203.210.113	5
35.203.210.115	5
35.203.210.125	5
35.203.210.126	5
35.203.210.137	5
35.203.210.143	5
35.203.210.152	5
35.203.210.200	5
35.203.210.205	5
35.203.210.206	5
35.203.210.221	5
35.203.210.226	5
35.203.210.229	5
35.203.210.239	5
35.203.210.245	5
35.203.210.250	5
35.203.211.29	5
35.203.211.57	5
35.203.211.69	5
35.203.211.79	5
35.203.211.82	5
35.203.211.95	5
35.203.211.106	5
35.203.211.112	5
35.203.211.132	5
35.203.211.151	5
35.203.211.170	5
35.203.211.173	5
35.203.211.220	5
35.210.61.208	5
36.26.74.162	5
36.41.173.197	5
36.50.54.62	5
36.69.151.219	5
36.93.144.67	5
36.95.194.52	5
36.99.46.101	5
36.103.222.120	5
36.103.243.179	5
36.104.144.114	5
36.110.172.218	5
36.111.82.21	5
36.134.34.142	5
36.137.249.148	5
36.138.202.60	5
36.156.140.137	5
36.163.199.22	5
36.189.207.209	5
36.212.31.122	5
36.255.223.75	5
37.25.36.197	5
37.59.110.4	5
37.157.98.80	5
37.211.171.222	5
38.12.6.117	5
38.12.30.135	5
38.22.90.10	5
38.137.11.14	5
39.109.104.252	5
39.129.48.98	5
39.170.9.163	5
39.174.42.18	5
40.80.203.87	5
40.81.244.142	5
40.82.214.8	5
40.117.97.0	5
40.119.33.98	5
40.124.120.41	5
40.124.170.45	5
40.124.171.82	5
40.124.173.234	5
40.124.174.148	5
40.124.175.75	5
40.124.175.131	5
40.124.175.188	5
40.124.184.7	5
41.59.229.33	5
41.90.100.147	5
41.111.162.34	5
41.128.181.199	5
41.216.178.119	5
42.51.32.228	5
42.51.33.162	5
42.51.40.180	5
42.51.42.209	5
42.81.4.42	5
42.81.126.27	5
42.96.16.250	5
42.96.20.16	5
42.112.42.129	5
42.200.78.78	5
43.130.90.166	5
43.133.90.187	5
43.133.212.22	5
43.134.87.90	5
43.140.127.160	5
43.153.150.130	5
43.154.195.142	5
43.154.233.209	5
43.155.21.198	5
43.155.178.247	5
43.155.180.222	5
43.156.71.43	5
43.156.144.65	5
43.157.151.226	5
43.157.202.100	5
43.157.202.201	5
43.159.35.176	5
43.159.177.40	5
43.160.200.211	5
43.160.255.12	5
43.163.107.154	5
43.163.113.224	5
43.164.128.63	5
43.164.130.249	5
43.164.135.43	5
43.165.3.187	5
43.167.198.92	5
43.225.52.87	5
43.226.40.202	5
43.243.142.42	5
43.245.249.251	5
43.246.139.120	5
43.251.17.236	5
43.252.156.204	5
44.212.59.240	5
44.249.181.169	5
45.15.225.120	5
45.43.37.254	5
45.55.57.187	5
45.55.82.3	5
45.55.134.250	5
45.61.187.220	5
45.64.74.51	5
45.78.194.186	5
45.78.194.242	5
45.78.198.19	5
45.78.198.158	5
45.78.198.162	5
45.78.198.167	5
45.78.198.177	5
45.78.198.178	5
45.78.198.194	5
45.78.198.204	5
45.78.198.206	5
45.78.198.228	5
45.78.201.248	5
45.78.202.217	5
45.78.204.246	5
45.78.204.254	5
45.78.206.111	5
45.78.207.244	5
45.78.230.231	5
45.78.237.21	5
45.79.181.94	5
45.84.107.54	5
45.84.107.97	5
45.84.107.128	5
45.89.63.39	5
45.91.64.6	5
45.118.144.36	5
45.119.81.119	5
45.119.212.99	5
45.120.120.69	5
45.121.147.48	5
45.132.19.15	5
45.132.19.23	5
45.134.9.27	5
45.142.154.40	5
45.144.212.177	5
45.148.10.152	5
45.148.10.240	5
45.153.34.226	5
45.156.87.91	5
45.156.128.67	5
45.156.128.69	5
45.156.128.71	5
45.156.128.81	5
45.156.128.82	5
45.156.128.83	5
45.156.128.94	5
45.156.128.97	5
45.156.128.98	5
45.156.128.101	5
45.156.128.103	5
45.156.128.104	5
45.156.128.106	5
45.156.128.107	5
45.156.128.118	5
45.156.128.119	5
45.156.128.124	5
45.156.128.130	5
45.156.128.131	5
45.156.128.167	5
45.156.128.171	5
45.156.128.177	5
45.156.128.178	5
45.156.128.179	5
45.156.129.78	5
45.156.129.81	5
45.156.129.83	5
45.156.129.86	5
45.156.129.105	5
45.156.129.106	5
45.156.129.115	5
45.156.129.118	5
45.156.129.122	5
45.156.129.137	5
45.156.129.153	5
45.156.129.160	5
45.156.129.162	5
45.156.129.163	5
45.156.129.165	5
45.156.129.168	5
45.162.8.14	5
45.169.128.70	5
45.169.200.254	5
45.175.37.29	5
45.182.5.98	5
45.186.251.70	5
45.194.70.252	5
45.222.48.8	5
45.249.244.231	5
46.26.43.117	5
46.29.238.171	5
46.32.174.108	5
46.37.66.191	5
46.151.182.45	5
46.161.27.151	5
46.182.80.178	5
46.188.119.26	5
46.225.229.32	5
47.87.65.135	5
47.91.16.59	5
47.236.170.198	5
47.236.255.52	5
47.237.75.3	5
47.237.99.16	5
47.243.149.151	5
47.245.88.253	5
47.250.80.158	5
47.250.81.7	5
47.251.86.165	5
47.251.91.25	5
47.251.176.225	5
47.253.5.130	5
47.253.141.144	5
47.253.184.220	5
47.254.234.203	5
49.7.210.65	5
49.64.85.138	5
49.64.86.110	5
49.64.242.249	5
49.75.185.71	5
49.124.151.40	5
49.204.74.149	5
49.228.84.24	5
49.231.192.36	5
49.247.36.49	5
49.247.37.22	5
49.247.175.3	5
49.249.44.254	5
50.6.202.106	5
50.6.229.52	5
50.6.230.112	5
50.6.251.68	5
50.35.168.148	5
50.104.70.175	5
51.15.4.95	5
51.68.138.162	5
51.75.253.68	5
51.79.67.116	5
51.158.205.203	5
51.178.43.161	5
51.178.84.57	5
51.178.141.222	5
51.183.250.100	5
51.195.138.37	5
51.210.219.85	5
51.254.113.225	5
51.254.130.161	5
52.165.81.64	5
52.165.81.253	5
52.172.177.191	5
52.183.128.237	5
52.186.182.60	5
52.207.210.0	5
52.224.105.13	5
52.237.80.79	5
52.248.43.226	5
52.249.221.45	5
54.36.99.29	5
54.39.20.135	5
54.90.205.87	5
54.224.113.78	5
57.128.182.5	5
57.128.201.254	5
57.151.89.48	5
58.20.201.4	5
58.42.8.7	5
58.48.132.106	5
58.49.26.202	5
58.49.113.138	5
58.56.23.210	5
58.69.56.44	5
58.98.197.137	5
58.208.84.103	5
58.209.234.84	5
58.210.98.130	5
58.215.243.6	5
58.221.60.25	5
58.225.220.117	5
58.229.141.26	5
58.247.139.54	5
59.15.99.151	5
59.22.68.213	5
59.23.3.146	5
59.26.132.170	5
59.36.72.234	5
59.36.78.66	5
59.36.211.132	5
59.50.25.5	5
59.98.148.5	5
59.99.187.27	5
59.126.224.134	5
60.164.241.234	5
60.167.165.58	5
60.167.166.161	5
60.174.72.198	5
60.178.172.13	5
60.188.243.179	5
60.190.239.92	5
60.199.224.55	5
60.204.203.231	5
60.214.128.238	5
60.247.145.119	5
61.78.121.78	5
61.145.136.26	5
61.151.249.194	5
61.155.106.101	5
61.171.95.18	5
61.185.96.156	5
61.185.190.42	5
61.220.127.240	5
61.222.211.114	5
62.14.96.56	5
62.60.130.25	5
62.171.133.187	5
62.171.160.177	5
62.219.172.50	5
64.31.18.114	5
64.62.156.10	5
64.62.156.38	5
64.62.156.52	5
64.62.156.66	5
64.62.156.80	5
64.62.156.108	5
64.62.156.122	5
64.62.156.132	5
64.62.156.142	5
64.62.156.152	5
64.62.156.162	5
64.62.156.182	5
64.62.156.192	5
64.62.156.202	5
64.62.156.212	5
64.62.156.222	5
64.62.197.17	5
64.62.197.32	5
64.62.197.47	5
64.62.197.62	5
64.62.197.77	5
64.62.197.92	5
64.62.197.107	5
64.62.197.122	5
64.62.197.137	5
64.62.197.167	5
64.62.197.182	5
64.62.197.197	5
64.62.197.212	5
64.62.197.227	5
64.89.160.47	5
64.89.160.82	5
64.89.161.53	5
64.225.1.77	5
64.225.11.45	5
64.226.101.80	5
64.227.74.18	5
64.227.135.37	5
64.227.139.157	5
65.49.1.24	5
65.49.1.38	5
65.49.1.52	5
65.49.1.66	5
65.49.1.80	5
65.49.1.94	5
65.49.1.108	5
65.49.1.122	5
65.49.1.152	5
65.49.1.162	5
65.49.1.172	5
65.49.1.192	5
65.49.1.212	5
65.49.1.222	5
65.49.1.232	5
65.49.20.66	5
65.49.20.68	5
65.108.81.211	5
66.132.153.113	5
66.132.153.115	5
66.132.153.135	5
66.132.153.138	5
66.132.153.143	5
66.154.125.60	5
66.175.213.4	5
68.183.200.27	5
68.183.203.22	5
68.183.236.1	5
69.5.0.120	5
69.5.189.31	5
69.6.220.104	5
69.6.250.15	5
69.49.246.176	5
69.74.29.21	5
69.149.23.135	5
69.169.109.188	5
69.169.109.220	5
71.6.134.230	5
71.6.134.231	5
71.6.134.235	5
71.12.241.225	5
72.17.34.38	5
72.240.125.133	5
72.253.251.3	5
72.253.251.7	5
74.77.223.62	5
74.82.47.2	5
74.82.47.3	5
74.82.47.4	5
74.249.129.23	5
74.249.177.184	5
74.249.178.165	5
76.79.213.69	5
76.79.213.70	5
77.22.70.198	5
77.37.146.19	5
77.77.38.98	5
77.83.39.63	5
77.83.39.104	5
77.83.39.128	5
77.83.39.217	5
77.83.39.243	5
77.87.40.114	5
77.110.97.183	5
77.237.238.140	5
77.239.108.0	5
78.42.241.233	5
78.44.192.210	5
78.71.220.153	5
78.134.49.171	5
78.138.168.46	5
78.187.21.105	5
79.36.240.89	5
79.92.232.95	5
80.67.172.162	5
80.87.206.253	5
80.94.95.216	5
80.94.95.242	5
80.253.251.63	5
81.22.51.64	5
81.30.212.94	5
81.91.101.39	5
81.170.248.221	5
81.177.215.11	5
81.183.192.244	5
81.192.46.32	5
81.193.216.17	5
81.231.139.106	5
82.22.21.41	5
82.147.84.72	5
82.153.157.220	5
82.156.38.68	5
82.158.224.77	5
83.97.24.41	5
83.111.76.194	5
83.142.209.8	5
83.171.248.67	5
83.235.16.111	5
84.8.96.180	5
84.8.252.139	5
84.247.132.162	5
85.11.183.19	5
85.11.183.21	5
85.24.209.239	5
85.105.253.144	5
85.184.248.187	5
85.217.140.1	5
85.217.140.2	5
85.217.140.3	5
85.217.140.4	5
85.217.140.8	5
85.217.140.9	5
85.217.140.10	5
85.217.140.11	5
85.217.140.12	5
85.217.140.13	5
85.217.140.15	5
85.217.140.16	5
85.217.140.17	5
85.217.140.18	5
85.217.140.19	5
85.217.140.20	5
85.217.140.23	5
85.217.140.26	5
85.217.140.27	5
85.217.140.29	5
85.217.140.31	5
85.217.140.32	5
85.217.140.33	5
85.217.140.34	5
85.217.140.35	5
85.217.140.36	5
85.217.140.37	5
85.217.140.38	5
85.217.140.39	5
85.217.140.40	5
85.217.140.41	5
85.217.140.42	5
85.217.140.44	5
85.217.140.46	5
85.217.140.48	5
85.217.140.49	5
85.217.140.50	5
85.217.140.51	5
85.217.140.52	5
85.217.140.53	5
85.217.149.1	5
85.217.149.3	5
85.217.149.5	5
85.217.149.7	5
85.217.149.8	5
85.217.149.9	5
85.217.149.11	5
85.217.149.13	5
85.217.149.14	5
85.217.149.17	5
85.217.149.18	5
85.217.149.19	5
85.217.149.20	5
85.217.149.21	5
85.217.149.24	5
85.217.149.26	5
85.217.149.28	5
85.217.149.31	5
85.217.149.33	5
85.217.149.36	5
85.217.149.40	5
85.217.149.41	5
85.217.149.44	5
85.217.149.45	5
85.217.149.46	5
85.217.149.50	5
85.217.149.51	5
85.217.149.56	5
85.217.149.59	5
85.217.149.60	5
85.217.149.61	5
85.217.149.63	5
85.217.149.64	5
85.217.149.65	5
85.217.149.66	5
85.217.149.68	5
86.54.42.185	5
86.98.113.51	5
86.102.131.54	5
86.111.189.27	5
87.103.126.54	5
87.106.35.227	5
87.106.44.172	5
87.106.65.126	5
87.117.32.22	5
87.121.84.172	5
87.200.32.245	5
87.236.176.208	5
88.30.67.99	5
88.76.172.241	5
89.42.231.182	5
89.44.137.176	5
89.47.53.19	5
89.67.37.8	5
89.116.31.97	5
89.185.81.112	5
89.234.157.254	5
90.180.197.128	5
91.99.70.83	5
91.134.140.4	5
91.134.240.52	5
91.196.152.16	5
91.196.152.27	5
91.196.152.29	5
91.196.152.52	5
91.196.152.120	5
91.196.152.227	5
91.217.139.150	5
91.224.92.191	5
91.230.168.5	5
91.230.168.9	5
91.230.168.26	5
91.230.168.32	5
91.230.168.35	5
91.230.168.38	5
91.230.168.68	5
91.230.168.72	5
91.230.168.76	5
91.230.168.79	5
91.230.168.83	5
91.230.168.84	5
91.230.168.89	5
91.230.168.93	5
91.230.168.102	5
91.230.168.109	5
91.230.168.111	5
91.230.168.122	5
91.230.168.134	5
91.230.168.136	5
91.230.168.139	5
91.230.168.147	5
91.230.168.149	5
91.230.168.150	5
91.230.168.166	5
91.230.168.168	5
91.230.168.177	5
91.230.168.178	5
91.230.168.180	5
91.230.168.185	5
91.230.168.208	5
91.230.168.209	5
91.230.168.225	5
91.230.168.234	5
91.230.168.237	5
91.230.168.247	5
91.231.89.2	5
91.231.89.14	5
91.231.89.30	5
91.231.89.40	5
91.231.89.48	5
91.231.89.57	5
91.231.89.59	5
91.231.89.65	5
91.231.89.70	5
91.231.89.82	5
91.231.89.136	5
91.231.89.145	5
91.231.89.147	5
91.231.89.153	5
91.231.89.156	5
91.231.89.159	5
91.231.89.171	5
91.231.89.191	5
91.231.89.193	5
91.231.89.195	5
91.231.89.196	5
91.231.89.198	5
91.231.89.199	5
91.231.89.207	5
91.231.89.218	5
91.231.89.219	5
91.231.89.220	5
91.231.89.229	5
91.231.89.235	5
91.231.89.238	5
91.239.23.237	5
92.27.157.252	5
92.118.39.34	5
92.118.39.36	5
92.118.39.37	5
92.118.39.83	5
92.118.39.84	5
92.118.39.92	5
92.118.39.100	5
92.118.39.101	5
92.118.39.115	5
92.118.39.180	5
92.118.112.178	5
92.205.56.196	5
93.48.24.181	5
93.93.202.165	5
93.145.118.40	5
94.102.49.155	5
94.183.186.131	5
94.231.206.4	5
94.231.206.131	5
94.231.206.132	5
94.231.206.135	5
94.231.206.249	5
94.231.206.251	5
95.24.33.32	5
95.63.176.27	5
95.70.212.76	5
95.79.108.51	5
95.85.234.50	5
95.85.240.24	5
95.90.13.168	5
95.165.77.31	5
95.182.116.42	5
95.208.74.83	5
95.214.55.63	5
95.215.0.144	5
96.44.154.251	5
96.44.170.208	5
96.92.63.243	5
97.107.131.17	5
99.92.204.98	5
100.26.194.24	5
101.32.240.31	5
101.36.97.172	5
101.36.106.89	5
101.36.106.134	5
101.36.107.228	5
101.36.108.134	5
101.36.108.178	5
101.36.108.213	5
101.36.109.22	5
101.36.113.241	5
101.36.114.222	5
101.36.116.87	5
101.36.117.35	5
101.36.117.42	5
101.36.117.187	5
101.36.119.146	5
101.36.119.222	5
101.36.121.72	5
101.36.122.113	5
101.36.122.186	5
101.36.123.66	5
101.36.123.91	5
101.36.127.166	5
101.47.13.68	5
101.47.135.95	5
101.47.156.17	5
101.47.156.170	5
101.47.159.125	5
101.52.130.122	5
101.89.150.3	5
101.100.194.181	5
101.100.194.199	5
101.126.11.137	5
101.126.54.167	5
101.126.55.67	5
101.126.55.95	5
101.126.66.30	5
101.126.67.255	5
101.126.70.177	5
101.126.81.213	5
101.126.85.58	5
101.126.91.34	5
101.126.91.58	5
101.126.95.172	5
101.126.129.179	5
101.126.157.138	5
102.23.122.235	5
102.68.84.17	5
102.88.137.145	5
102.210.148.92	5
102.210.149.105	5
102.211.152.138	5
102.218.89.110	5
103.2.225.33	5
103.4.92.103	5
103.4.145.50	5
103.7.41.117	5
103.13.206.214	5
103.13.207.32	5
103.13.207.34	5
103.13.207.60	5
103.13.207.182	5
103.13.211.12	5
103.13.211.185	5
103.20.223.56	5
103.23.198.86	5
103.23.198.220	5
103.23.198.244	5
103.23.199.119	5
103.27.36.4	5
103.27.60.83	5
103.30.41.231	5
103.39.245.69	5
103.49.238.22	5
103.49.238.35	5
103.49.238.63	5
103.49.238.86	5
103.49.239.212	5
103.49.239.252	5
103.52.114.122	5
103.52.114.250	5
103.52.115.25	5
103.52.115.198	5
103.55.216.2	5
103.59.94.62	5
103.61.123.132	5
103.62.152.202	5
103.63.25.51	5
103.63.25.53	5
103.63.25.61	5
103.63.25.134	5
103.63.108.25	5
103.67.78.132	5
103.67.80.61	5
103.72.147.99	5
103.75.180.126	5
103.76.120.198	5
103.78.2.212	5
103.82.21.8	5
103.82.92.40	5
103.86.180.10	5
103.86.198.162	5
103.86.198.253	5
103.89.94.39	5
103.89.240.251	5
103.90.27.83	5
103.90.227.98	5
103.90.234.248	5
103.91.245.241	5
103.98.176.164	5
103.101.216.74	5
103.113.104.43	5
103.115.41.16	5
103.115.56.3	5
103.115.252.60	5
103.118.114.22	5
103.119.94.10	5
103.121.91.144	5
103.123.53.88	5
103.131.85.156	5
103.131.85.178	5
103.131.85.191	5
103.131.85.223	5
103.134.154.55	5
103.134.154.79	5
103.134.154.138	5
103.134.154.142	5
103.142.26.46	5
103.143.11.150	5
103.143.238.207	5
103.145.63.218	5
103.146.23.145	5
103.146.159.14	5
103.147.159.91	5
103.149.26.140	5
103.149.27.29	5
103.149.27.208	5
103.153.110.190	5
103.153.190.105	5
103.153.254.168	5
103.154.62.14	5
103.154.77.48	5
103.154.123.19	5
103.154.158.70	5
103.156.204.2	5
103.161.93.53	5
103.161.170.12	5
103.163.215.10	5
103.168.135.187	5
103.168.241.32	5
103.171.69.124	5
103.171.85.124	5
103.171.85.186	5
103.172.20.218	5
103.172.28.62	5
103.172.113.192	5
103.172.204.83	5
103.172.204.219	5
103.172.204.220	5
103.172.205.208	5
103.172.236.241	5
103.173.154.45	5
103.174.114.164	5
103.174.115.196	5
103.174.188.142	5
103.175.225.238	5
103.176.20.115	5
103.176.79.117	5
103.176.79.139	5
103.177.4.230	5
103.177.31.66	5
103.179.27.94	5
103.179.56.44	5
103.180.241.18	5
103.183.62.0	5
103.183.62.1	5
103.183.62.2	5
103.183.62.3	5
103.183.74.214	5
103.183.75.204	5
103.186.0.68	5
103.186.0.182	5
103.186.1.59	5
103.187.147.128	5
103.187.147.214	5
103.187.165.26	5
103.189.208.13	5
103.189.234.82	5
103.189.234.125	5
103.189.235.93	5
103.189.235.176	5
103.190.214.241	5
103.191.14.243	5
103.191.92.65	5
103.191.92.72	5
103.192.39.34	5
103.192.39.35	5
103.192.39.36	5
103.193.176.131	5
103.193.178.42	5
103.193.178.119	5
103.193.178.214	5
103.194.243.196	5
103.199.203.67	5
103.200.25.162	5
103.210.21.58	5
103.210.21.178	5
103.210.21.242	5
103.210.22.74	5
103.211.217.182	5
103.211.219.58	5
103.213.116.242	5
103.215.80.173	5
103.217.144.113	5
103.217.144.161	5
103.217.145.104	5
103.218.241.7	5
103.218.241.245	5
103.219.154.156	5
103.226.251.214	5
103.228.36.205	5
103.231.14.54	5
103.234.53.173	5
103.243.26.174	5
103.249.84.18	5
103.250.10.42	5
104.28.233.73	5
104.218.166.62	5
104.223.21.7	5
104.244.74.84	5
104.248.86.58	5
104.248.209.31	5
104.248.245.166	5
105.247.69.196	5
106.12.6.79	5
106.12.29.184	5
106.12.138.190	5
106.12.161.149	5
106.13.39.89	5
106.13.44.253	5
106.13.64.124	5
106.13.69.159	5
106.13.132.22	5
106.13.135.26	5
106.13.165.101	5
106.13.174.45	5
106.13.182.13	5
106.13.228.40	5
106.38.195.164	5
106.75.3.171	5
106.75.88.44	5
106.75.162.123	5
106.75.214.209	5
106.75.239.166	5
106.119.165.171	5
106.124.137.21	5
106.251.244.178	5
107.155.48.46	5
107.175.220.228	5
107.180.88.176	5
109.91.4.177	5
109.94.170.62	5
109.105.209.12	5
109.105.209.22	5
109.105.209.23	5
109.105.209.25	5
109.105.209.34	5
109.105.210.53	5
109.105.210.54	5
109.105.210.57	5
109.105.210.58	5
109.105.210.60	5
109.107.166.19	5
109.195.108.173	5
109.199.99.76	5
109.205.56.11	5
110.14.190.217	5
110.25.112.152	5
110.41.21.190	5
110.53.68.28	5
110.72.242.164	5
111.32.153.180	5
111.47.243.219	5
111.53.147.80	5
111.68.107.91	5
111.70.34.60	5
111.119.252.199	5
111.160.133.62	5
111.171.127.190	5
111.205.145.2	5
111.229.67.242	5
111.238.174.6	5
112.6.227.209	5
112.30.127.9	5
112.67.250.54	5
112.78.1.94	5
112.120.171.95	5
112.132.249.164	5
112.161.26.125	5
112.184.119.22	5
112.221.175.214	5
113.31.103.129	5
113.31.107.103	5
113.88.240.151	5
113.108.13.168	5
113.108.63.207	5
113.125.165.132	5
113.137.40.250	5
113.219.244.16	5
113.219.245.57	5
113.249.103.89	5
114.34.106.146	5
114.80.34.158	5
114.132.166.115	5
114.216.2.84	5
114.217.10.60	5
114.217.34.117	5
114.220.176.69	5
114.220.238.224	5
115.73.11.44	5
115.151.72.122	5
115.190.10.158	5
115.190.12.52	5
115.190.14.84	5
115.190.24.136	5
115.190.26.3	5
115.190.29.141	5
115.190.34.136	5
115.190.37.201	5
115.190.46.94	5
115.190.74.101	5
115.190.86.142	5
115.190.87.35	5
115.190.87.147	5
115.190.102.54	5
115.190.107.28	5
115.190.109.103	5
115.190.113.93	5
115.190.132.106	5
115.190.136.184	5
115.190.149.148	5
115.190.151.242	5
115.190.162.240	5
115.190.188.197	5
115.190.216.185	5
115.190.233.64	5
115.190.245.176	5
115.191.6.223	5
115.191.28.64	5
115.191.62.17	5
115.239.217.94	5
115.239.255.170	5
116.6.109.157	5
116.50.179.74	5
116.59.10.205	5
116.110.11.124	5
116.110.209.193	5
116.120.97.12	5
116.120.157.4	5
116.140.211.29	5
116.193.190.100	5
116.193.191.8	5
116.193.191.46	5
116.193.191.104	5
116.193.191.169	5
116.233.39.165	5
116.233.83.90	5
116.255.159.84	5
117.2.49.125	5
117.50.51.119	5
117.50.70.125	5
117.50.73.90	5
117.62.203.160	5
117.72.205.36	5
117.80.146.195	5
117.80.226.93	5
117.85.172.202	5
117.139.118.199	5
117.164.191.217	5
117.203.175.65	5
117.216.143.31	5
117.221.170.153	5
118.26.36.195	5
118.26.39.178	5
118.45.101.159	5
118.69.65.39	5
118.99.102.20	5
118.122.147.49	5
118.145.106.2	5
118.185.85.137	5
118.193.32.92	5
118.193.33.3	5
118.193.33.42	5
118.193.33.128	5
118.193.33.130	5
118.193.33.139	5
118.193.34.72	5
118.193.34.101	5
118.193.34.208	5
118.193.36.63	5
118.193.36.245	5
118.193.39.99	5
118.193.39.117	5
118.193.40.145	5
118.193.43.141	5
118.193.45.103	5
118.193.47.223	5
118.193.57.121	5
118.193.59.4	5
118.193.61.170	5
118.193.64.235	5
118.194.230.231	5
118.194.231.208	5
118.194.250.31	5
118.194.250.127	5
118.194.251.141	5
118.196.24.229	5
118.196.26.161	5
118.196.40.115	5
118.219.239.123	5
119.3.9.19	5
119.18.55.217	5
119.45.40.108	5
119.96.157.188	5
119.96.158.87	5
119.96.158.238	5
119.96.159.237	5
119.96.174.235	5
119.96.191.166	5
119.96.224.54	5
119.96.242.82	5
119.160.166.237	5
119.167.206.194	5
119.192.59.80	5
119.203.251.187	5
120.48.1.74	5
120.48.15.138	5
120.48.33.21	5
120.48.52.58	5
120.48.55.25	5
120.48.60.44	5
120.48.76.190	5
120.48.102.177	5
120.48.109.159	5
120.48.122.158	5
120.48.123.76	5
120.48.130.213	5
120.48.131.211	5
120.48.147.81	5
120.48.167.92	5
120.48.170.78	5
120.48.174.68	5
120.48.175.69	5
120.48.181.192	5
120.92.124.49	5
120.233.73.156	5
120.240.95.27	5
120.241.79.66	5
121.46.30.206	5
121.66.124.146	5
121.125.70.58	5
121.128.199.222	5
121.134.60.125	5
121.142.87.218	5
121.153.60.137	5
121.164.135.251	5
121.168.139.251	5
121.179.93.147	5
121.204.179.231	5
121.204.251.82	5
121.204.251.183	5
121.224.78.164	5
121.224.115.232	5
121.227.31.82	5
121.227.152.171	5
121.227.152.250	5
121.229.9.110	5
121.229.13.210	5
121.229.25.10	5
121.229.27.155	5
121.229.41.12	5
121.229.107.184	5
121.229.191.90	5
121.236.175.86	5
122.9.187.31	5
122.13.25.186	5
122.53.133.167	5
122.114.12.133	5
122.114.113.177	5
